facility_name,licensee,facility_address,facility_city,facility_zip,county_name,facility_capacity,facility_status,license_first_date,closed_date,months_operated,facility_telephone_number,risk_score,google_maps_url
"EL, SHELDON FCCH","EL, SHELDON",Unavailable,SANTA ROSA,95404,SONOMA,14,CLOSED,5/3/2021,8/14/2023,27.8,(707) 708-8676,6,https://www.google.com/maps/search/Unavailable%2C%20SANTA%20ROSA%2C%20CA
"LEDBETTER, PATRICIA FAMILY CHILD CARE","LEDBETTER, PATRICIA",Unavailable,FRESNO,93720,FRESNO,14,CLOSED,10/15/2020,7/25/2024,46.0,(760) 703-1640,6,https://www.google.com/maps/search/Unavailable%2C%20FRESNO%2C%20CA
"MARTINEZ, ELVIA FAMILY CHILD CARE","MARTINEZ, ELVIA",Unavailable,SAN DIEGO,92154,SAN DIEGO,14,CLOSED,3/10/2020,6/12/2023,39.6,(619) 653-9129,6,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
"CASTELLANOS, EMILCE FAMILY CHILD CARE","CASTELLANOS, EMILCE",Unavailable,LOS BANOS,93635,MERCED,14,CLOSED,2/5/2020,8/26/2022,31.1,(408) 858-7356,6,https://www.google.com/maps/search/Unavailable%2C%20LOS%20BANOS%2C%20CA
LITTLE ENSOS,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,651 TANK FARM ROAD,SAN LUIS OBISPO,93401,SAN LUIS OBISPO,31,CLOSED,6/3/2019,12/16/2020,18.7,(805) 545-7836,6,https://www.google.com/maps/search/651%20TANK%20FARM%20ROAD%2C%20SAN%20LUIS%20OBISPO%2C%20CA
"LEREE, LAURA FAMILY CHILD CARE","LEREE, LAURA",Unavailable,SAN DIEGO,92117,SAN DIEGO,14,CLOSED,8/25/2022,8/28/2024,24.5,(619) 981-6002,6,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
"GASTELUM, LAURA FAMILY CHILD CARE","GASTELUM, LAURA",Unavailable,SAN DIEGO,92154,SAN DIEGO,14,CLOSED,2/24/2021,4/19/2023,26.1,(619) 862-9166,6,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
"CASTRO, ANA","CASTRO, ANA",Unavailable,BERKELEY,94710,ALAMEDA,14,CLOSED,8/4/2021,4/8/2025,44.8,(510) 512-6467,6,https://www.google.com/maps/search/Unavailable%2C%20BERKELEY%2C%20CA
"BENSON, ROBYN","BENSON, ROBYN",Unavailable,WINTERS,95694,YOLO,14,CLOSED,4/19/2022,5/31/2024,25.8,(530) 304-8490,6,https://www.google.com/maps/search/Unavailable%2C%20WINTERS%2C%20CA
"EVERGREEN MONTESSORI ACADEMY, LLC","EVERGREEN MONTESSORI ACADEMY, LLC",2038 E. FOOTHILL BLVD,PASADENA,91107,LOS ANGELES,52,CLOSED,5/26/2021,6/7/2023,24.7,(626) 460-0468,6,https://www.google.com/maps/search/2038%20E.%20FOOTHILL%20BLVD%2C%20PASADENA%2C%20CA
GOLDEN POPPY PRESCHOOL & INFANT CENTER,LEAP & BOUNDS LLC.,3422 TRIPP COURT,SAN DIEGO,92121,SAN DIEGO,119,CLOSED,1/10/2020,12/2/2024,59.6,(858) 794-9130,6,https://www.google.com/maps/search/3422%20TRIPP%20COURT%2C%20SAN%20DIEGO%2C%20CA
EPIPHANY ROYAL ANGELS PRESCHOOL,CATHERINE OCRAN,10915 MICHAEL HUNT DRIVE,SOUTH EL MONTE,91733,LOS ANGELES,18,CLOSED,4/21/2022,6/6/2024,25.9,(310) 283-0933,6,https://www.google.com/maps/search/10915%20MICHAEL%20HUNT%20DRIVE%2C%20SOUTH%20EL%20MONTE%2C%20CA
KINDERLAND MONTESSORI - PRESCHOOL,"VALENCIA, CAROLINA & VANESSA",625 OTAY LAKES ROAD,CHULA VISTA,91913,SAN DIEGO,120,CLOSED,10/5/2020,4/1/2025,54.6,(619) 479-4007,6,https://www.google.com/maps/search/625%20OTAY%20LAKES%20ROAD%2C%20CHULA%20VISTA%2C%20CA
"EVELYN, PATRICIA; BROWN, LINDA; & JOHNSON, SHEREE","EVELYN, PATRICIA; BROWN, LINDA; & JOHNSON, SHEREE",Unavailable,STOCKTON,95219,SAN JOAQUIN,14,CLOSED,11/24/2020,3/11/2025,52.3,(209) 487-2610,6,https://www.google.com/maps/search/Unavailable%2C%20STOCKTON%2C%20CA
HAPPY HALL SCHOOL,HAPPY HALL SCHOOL,817 MURCHISON DRIVE,MILLBRAE,94030,SAN MATEO,30,INACTIVE,11/1/2020,,,(650) 697-4760,6,https://www.google.com/maps/search/817%20MURCHISON%20DRIVE%2C%20MILLBRAE%2C%20CA
LEARN AND PLAY MONTESSORI PLEASANT HILL,"LEARN AND PLAY MONTESSORI PLEASANT HILL, INC",1898 PLEASANT HILL RD,PLEASANT HILL,94523,CONTRA COSTA,138,CLOSED,10/26/2022,1/2/2025,26.6,(925) 943-7007,6,https://www.google.com/maps/search/1898%20PLEASANT%20HILL%20RD%2C%20PLEASANT%20HILL%2C%20CA
TINY TOTS ACADEMY,"KETTGEN, CANDI",250 NORTHGATE DRIVE,MANTECA,95336,SAN JOAQUIN,15,CLOSED,6/23/2021,3/3/2025,45.0,(209) 294-9803,6,https://www.google.com/maps/search/250%20NORTHGATE%20DRIVE%2C%20MANTECA%2C%20CA
PARADISE RIDGE CHILDREN'S CENTER,BUTTE COUNTY OFFICE OF EDUCATION,6593 PENTZ ROAD,PARADISE,95969,BUTTE,21,CLOSED,9/9/2022,1/2/2025,28.2,(530) 532-5643,6,https://www.google.com/maps/search/6593%20PENTZ%20ROAD%2C%20PARADISE%2C%20CA
GOLDEN POPPY PRESCHOOL & INFANT CENTER,LEAPS & BOUNDS LLC.,3422 TRIPP COURT,SAN DIEGO,92121,SAN DIEGO,44,CLOSED,1/10/2020,12/2/2024,59.6,(858) 794-9130,6,https://www.google.com/maps/search/3422%20TRIPP%20COURT%2C%20SAN%20DIEGO%2C%20CA
L'ACADEMY PRESCHOOL SF HAYES VALLEY,IMMERSION 5 LLC,49 PAGE STREET,SAN FRANCISCO,94105,SAN FRANCISCO,28,CLOSED,10/6/2021,6/3/2024,32.4,(415) 658-7817,6,https://www.google.com/maps/search/49%20PAGE%20STREET%2C%20SAN%20FRANCISCO%2C%20CA
L'ACADEMY LANGUAGE IMMERSION PS SF CPMC INF,IMMERSION 5 LLC,1040 GEARY STREET,SAN FRANCISCO,94109,SAN FRANCISCO,18,CLOSED,7/21/2022,8/1/2024,24.7,(408) 916-7536,6,https://www.google.com/maps/search/1040%20GEARY%20STREET%2C%20SAN%20FRANCISCO%2C%20CA
HIGHLAND ACADEMY,"HOMEROOM, LLC",3016 HIGHLAND DRIVE,CARLSBAD,92008,SAN DIEGO,8,CLOSED,8/2/2021,7/10/2024,35.8,(760) 936-6722,6,https://www.google.com/maps/search/3016%20HIGHLAND%20DRIVE%2C%20CARLSBAD%2C%20CA
KINDERLAND MONTESSORI - INFANT,"VALENCIA, CAROLINA & VANESSA",625 OTAY LAKES ROAD,CHULA VISTA,91913,SAN DIEGO,12,CLOSED,10/5/2020,4/1/2025,54.6,(619) 479-4007,6,https://www.google.com/maps/search/625%20OTAY%20LAKES%20ROAD%2C%20CHULA%20VISTA%2C%20CA
KIDS' COMMUNITY CAMPUS,"MENDOZA, EUNICE G",2490 N WALNUT RD,TURLOCK,95382,STANISLAUS,24,CLOSED,11/17/2020,6/17/2024,43.6,(209) 620-8389,6,https://www.google.com/maps/search/2490%20N%20WALNUT%20RD%2C%20TURLOCK%2C%20CA
KIDDIE ACADEMY OF RANCHO CUCAMONGA,"MOORE,JENNIFER & MOORE,MATTHEW",7220 VICTORIA PARK LANE,RANCHO CUCAMONGA,91739,SAN BERNARDINO,24,CLOSED,1/21/2020,4/25/2022,27.5,(909) 891-8700,6,https://www.google.com/maps/search/7220%20VICTORIA%20PARK%20LANE%2C%20RANCHO%20CUCAMONGA%2C%20CA
INSPIRING BEGINNING'S CHILDCARE CENTER,INSPIRING BEGINNING'S CHILDCARE CENTER (INF),924 SAN JUAN ROAD,SACRAMENTO,95834,SACRAMENTO,8,INACTIVE,8/18/2022,,,(916) 614-9334,6,https://www.google.com/maps/search/924%20SAN%20JUAN%20ROAD%2C%20SACRAMENTO%2C%20CA
"HUANG, CUILING",CUILING HUANG,Unavailable,ALAMEDA,94501,ALAMEDA,14,CLOSED,3/29/2021,6/7/2024,38.9,(510) 417-6591,6,https://www.google.com/maps/search/Unavailable%2C%20ALAMEDA%2C%20CA
KIDDIE ACADEMY OF RANCHO CUCAMONGA,"MOORE,JENNIFER & MOORE,MATTHEW",7220 VICTORIA PARK LANE,RANCHO CUCAMONGA,91739,SAN BERNARDINO,24,CLOSED,1/21/2020,4/25/2022,27.5,(909) 891-8700,6,https://www.google.com/maps/search/7220%20VICTORIA%20PARK%20LANE%2C%20RANCHO%20CUCAMONGA%2C%20CA
KIDS' COMMUNITY CAMPUS,"MENDOZA, EUNICE G",2490 N WALNUT RD,TURLOCK,95382,STANISLAUS,32,CLOSED,11/17/2020,6/17/2024,43.6,(209) 620-8389,6,https://www.google.com/maps/search/2490%20N%20WALNUT%20RD%2C%20TURLOCK%2C%20CA
XU & CHEN FAMILY CHILD CARE,BING YAN XU & JIAN SHENG CHEN,Unavailable,ALHAMBRA,91801,LOS ANGELES,14,CLOSED,7/3/2020,6/23/2022,24.0,(213) 267-2267,6,https://www.google.com/maps/search/Unavailable%2C%20ALHAMBRA%2C%20CA
"HERNANDEZ, TERESITA FAMILY CHILD CARE HOME","HERNANDEZ, TERESITA",Unavailable,OLIVEHURST,95961,YUBA,14,CLOSED,6/30/2022,9/30/2024,27.4,(530) 315-5843,6,https://www.google.com/maps/search/Unavailable%2C%20OLIVEHURST%2C%20CA
MY CURIOUS MONKEY'S CHILDCARE,MY CURIOUS MONKEYS CHILDCARE,475 DARLENE LANE,TRACY,95377,SAN JOAQUIN,28,CLOSED,3/5/2020,4/25/2023,38.2,(209) 832-5437,6,https://www.google.com/maps/search/475%20DARLENE%20LANE%2C%20TRACY%2C%20CA
KINDERLAND MONTESSORI - SCHOOL AGE,"VALENCIA, CAROLINA & VANESSA",625 OTAY LAKES ROAD,CHULA VISTA,91913,SAN DIEGO,48,CLOSED,10/5/2020,4/1/2025,54.6,(619) 479-4007,6,https://www.google.com/maps/search/625%20OTAY%20LAKES%20ROAD%2C%20CHULA%20VISTA%2C%20CA
"OSBORNE, MALAIKA","OSBORNE, MALAIKA",Unavailable,SACRAMENTO,95829,SACRAMENTO,14,CLOSED,9/3/2021,4/8/2025,43.8,(916) 201-5144,6,https://www.google.com/maps/search/Unavailable%2C%20SACRAMENTO%2C%20CA
"LEARNING EXPERIENCE-S/A, THE","TLE AT ROHNERT PARK, LLC",6150 COMMERCE BLVD,ROHNERT PARK,94928,SONOMA,15,CLOSED,10/5/2020,10/27/2022,25.1,(707) 585-5990,6,https://www.google.com/maps/search/6150%20COMMERCE%20BLVD%2C%20ROHNERT%20PARK%2C%20CA
"LEARNING EXPERIENCE, THE","VALENCIA LEARNING, LLC",24615 COPPER HILL DRIVE,SANTA CLARITA,91354,LOS ANGELES,14,CLOSED,10/13/2020,8/21/2024,46.9,(661) 904-9530,6,https://www.google.com/maps/search/24615%20COPPER%20HILL%20DRIVE%2C%20SANTA%20CLARITA%2C%20CA
LEARNING TO LOVE DEVELOPMENT CENTER LLC,LEARNING TO LOVE DEVELOPMENT CENTER LLC,4340 STOCKTON BLVD,SACRAMENTO,95820,SACRAMENTO,5,CLOSED,4/23/2021,3/14/2024,35.2,(916) 475-1622,6,https://www.google.com/maps/search/4340%20STOCKTON%20BLVD%2C%20SACRAMENTO%2C%20CA
LITTLE MOUNTAIN PRESCHOOL,LITTLE MOUNTAIN LLC,2915 LITTLE MOUNTAIN DR,SAN BERNARDINO,92405,SAN BERNARDINO,14,CLOSED,5/27/2020,3/21/2023,34.3,(909) 882-1100,6,https://www.google.com/maps/search/2915%20LITTLE%20MOUNTAIN%20DR%2C%20SAN%20BERNARDINO%2C%20CA
"OREGEL, NANCY FAMILY CHILD CARE","OREGEL, NANCY",Unavailable,TURLOCK,95382,STANISLAUS,14,CLOSED,10/7/2021,1/8/2024,27.4,(209) 499-2779,6,https://www.google.com/maps/search/Unavailable%2C%20TURLOCK%2C%20CA
CASA DEI BAMBINI INFANT AND TODDLER,"CASA DEI BAMBINI, LLC",624 EAST CAMINO COLEGIO,SANTA MARIA,93454,SANTA BARBARA,28,CLOSED,11/20/2020,9/27/2023,34.7,(805) 348-3690,6,https://www.google.com/maps/search/624%20EAST%20CAMINO%20COLEGIO%2C%20SANTA%20MARIA%2C%20CA
MC DONALD LEARNING CENTER,LISA BURTNER,796 ERWIN RANCH ROAD,BIG BEAR CITY,92314,SAN BERNARDINO,14,CLOSED,11/7/2022,2/21/2025,27.9,(909) 709-4041,6,https://www.google.com/maps/search/796%20ERWIN%20RANCH%20ROAD%2C%20BIG%20BEAR%20CITY%2C%20CA
"LAGRONE-WHITE, VERA FAMILY CHILD CARE","LAGRONE-WHITE, VERA",Unavailable,SAN DIEGO,92114,SAN DIEGO,14,CLOSED,8/18/2020,12/30/2022,28.8,(619) 632-8117,6,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
BUENA PARK MONTESSORI ACADEMY,SUNLAND BUENA PARK MONTESSORI INC.,6221 LINCOLN AVENUE,BUENA PARK,90620,ORANGE,27,CLOSED,7/29/2021,11/19/2024,40.3,(714) 821-7800,6,https://www.google.com/maps/search/6221%20LINCOLN%20AVENUE%2C%20BUENA%20PARK%2C%20CA
HAPPY HALL SCHOOL,HAPPY HALL SCHOOL,817 MURCHISON DRIVE,MILLBRAE,94030,SAN MATEO,70,INACTIVE,11/1/2020,,,(650) 697-4760,6,https://www.google.com/maps/search/817%20MURCHISON%20DRIVE%2C%20MILLBRAE%2C%20CA
ATLC PRESCHOOL & EXTENDED CARE,"ATLC PRESCHOOL AND EXTENDED CARE, INC.",1975 CAMBRIANNA DRIVE,SAN JOSE,95124,SANTA CLARA,150,CLOSED,10/7/2022,10/2/2024,24.2,(408) 371-2573,6,https://www.google.com/maps/search/1975%20CAMBRIANNA%20DRIVE%2C%20SAN%20JOSE%2C%20CA
"LEARNING EXPERIENCE-INFANT, THE","TLE AT ROHNERT PARK, LLC",6150 COMMERCE BLVD,ROHNERT PARK,94928,SONOMA,20,CLOSED,10/5/2020,5/1/2024,43.5,(707) 585-5990,6,https://www.google.com/maps/search/6150%20COMMERCE%20BLVD%2C%20ROHNERT%20PARK%2C%20CA
FAIRVIEW CHRISTIAN ACADEMY & ENRICHMENT CENTER,HOOPER'S FAMILY DAYCARE AND LEARNING CENTET,1215 N MARLBOROUGH AVE,INGLEWOOD,90302,LOS ANGELES,14,CLOSED,7/30/2020,8/30/2023,37.5,(213) 910-8858,6,https://www.google.com/maps/search/1215%20N%20MARLBOROUGH%20AVE%2C%20INGLEWOOD%2C%20CA
SYCAMORE VALLEY DAY SCHOOL,SYCAMORE VALLEY DAY SCHOOL,1500 SHERBURNE HILLS ROAD,DANVILLE,94526,CONTRA COSTA,7,CLOSED,11/23/2020,4/28/2025,53.9,(925) 736-2181,6,https://www.google.com/maps/search/1500%20SHERBURNE%20HILLS%20ROAD%2C%20DANVILLE%2C%20CA
TOGETHER WE GROW (INFANT),TOGETHER WE GROW,42389 WINCHESTER RD,TEMECULA,92590,RIVERSIDE,21,CLOSED,8/25/2020,10/30/2023,38.7,(760) 757-6031,6,https://www.google.com/maps/search/42389%20WINCHESTER%20RD%2C%20TEMECULA%2C%20CA
TULIP KIDS,"TULIP KIDS, INC.",10181 FINCH AVENUE,CUPERTINO,95014,SANTA CLARA,15,CLOSED,3/1/2021,8/16/2024,42.1,(669) 377-5774,6,https://www.google.com/maps/search/10181%20FINCH%20AVENUE%2C%20CUPERTINO%2C%20CA
WAH MEI AT KIDS BY THE BAY-CIVIC CENTER(INF),WAH MEI SCHOOL,90 7TH STREET,SAN FRANCISCO,94103,SAN FRANCISCO,42,INACTIVE,6/2/2021,,,(415) 554-8100,6,https://www.google.com/maps/search/90%207TH%20STREET%2C%20SAN%20FRANCISCO%2C%20CA
RIO LINDA EARLY LEARNING CENTER,TWIN RIVERS UNIFIED SCHOOL DISTRICT,631 L ST,RIO LINDA,95673,SACRAMENTO,16,CLOSED,11/30/2021,12/7/2023,24.6,(916) 566-3485,6,https://www.google.com/maps/search/631%20L%20ST%2C%20RIO%20LINDA%2C%20CA
PURE & SIMPLE ACADEMY & CHILD CARE CENTER,"AGUIRRE, SANDRA LONA & EDWARD ANTHONY",43301 DIVISION ST SUITE 101,LANCASTER,93535,LOS ANGELES,58,CLOSED,3/16/2020,5/9/2022,26.1,(661) 524-1042,6,https://www.google.com/maps/search/43301%20DIVISION%20ST%20SUITE%20101%2C%20LANCASTER%2C%20CA
A PLACE OF OUR OWN CDC,"PEOPLES,FELICIA",2355 EAST VALLEY PKWY,ESCONDIDO,92027,SAN DIEGO,30,CLOSED,9/21/2020,7/23/2023,34.5,(760) 737-8660,6,https://www.google.com/maps/search/2355%20EAST%20VALLEY%20PKWY%2C%20ESCONDIDO%2C%20CA
ACHIEVERS ACADEMY PRESCHOOL,"ACHIEVERS ACADEMY, INC.",9025 LANGDON AVENUE,NORTH HILLS,91343,LOS ANGELES,132,CLOSED,9/29/2021,4/10/2024,30.8,(818) 830-8123,6,https://www.google.com/maps/search/9025%20LANGDON%20AVENUE%2C%20NORTH%20HILLS%2C%20CA
"ACADEMY OF LEARNERS CDC, LLC","ACADEMY OF LEARNERS CDC, LLC",19047 MAIN STREET,LINDEN,95236,SAN JOAQUIN,11,CLOSED,6/29/2022,6/26/2024,24.3,(209) 605-0626,6,https://www.google.com/maps/search/19047%20MAIN%20STREET%2C%20LINDEN%2C%20CA
"ZAGRAI, TATIANA & ATLANOVA, ALEXANDRA","ZAGRAI, TATIANA & ATLANOVA, ALEXANDRA",Unavailable,FOSTER CITY,94404,SAN MATEO,14,CLOSED,8/7/2020,1/30/2024,42.4,(646) 258-1158,6,https://www.google.com/maps/search/Unavailable%2C%20FOSTER%20CITY%2C%20CA
OLIVE TREE DAY SCHOOL,"KTR CONSULTING, INC",7690 ARCHIBALD AVE,RANCHO CUCAMONGA,91730,SAN BERNARDINO,4,CLOSED,9/15/2022,9/24/2024,24.7,(909) 987-6264,6,https://www.google.com/maps/search/7690%20ARCHIBALD%20AVE%2C%20RANCHO%20CUCAMONGA%2C%20CA
AGAPE PLAYSKOOL,"AGAPE LEARNING CENTER, LLC","3700 THOMAS ROAD, SUITE 107",SANTA CLARA,95054,SANTA CLARA,24,CLOSED,6/5/2023,9/30/2024,16.1,(669) 295-8697,6,https://www.google.com/maps/search/3700%20THOMAS%20ROAD%2C%20SUITE%20107%2C%20SANTA%20CLARA%2C%20CA
BUILDING KIDZ SCHOOL,MANALI ECE LLC,4115 JACKSOL DRIVE,SAN JOSE,95124,SANTA CLARA,52,CLOSED,2/20/2020,7/31/2022,29.7,(408) 559-1003,6,https://www.google.com/maps/search/4115%20JACKSOL%20DRIVE%2C%20SAN%20JOSE%2C%20CA
LITTLE MOUNTAIN PRESCHOOL,LITTLE MOUNTAIN LLC,2915 LITTLE MOUNTAIN DR,SAN BERNARDINO,92405,SAN BERNARDINO,16,CLOSED,5/27/2020,3/21/2023,34.3,(909) 882-1100,6,https://www.google.com/maps/search/2915%20LITTLE%20MOUNTAIN%20DR%2C%20SAN%20BERNARDINO%2C%20CA
LITTLE ENSOS,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",651 TANK FARM ROAD,SAN LUIS OBISPO,93401,SAN LUIS OBISPO,40,CLOSED,6/3/2019,12/16/2020,18.7,(805) 545-7836,6,https://www.google.com/maps/search/651%20TANK%20FARM%20ROAD%2C%20SAN%20LUIS%20OBISPO%2C%20CA
CATALYST KIDS-CERRITOS,CATALYST FAMILY INC.,3731 CERRITOS AVENUE,ANAHEIM,92804,ORANGE,35,CLOSED,11/18/2020,5/26/2023,30.6,(714) 949-5933,6,https://www.google.com/maps/search/3731%20CERRITOS%20AVENUE%2C%20ANAHEIM%2C%20CA
CATALYST KIDS-HOLDER,CATALYST FAMILY INC.,9550 HOLDER STREET,BUENA PARK,90620,ORANGE,35,CLOSED,11/18/2020,6/9/2023,31.1,(714) 949-5933,6,https://www.google.com/maps/search/9550%20HOLDER%20STREET%2C%20BUENA%20PARK%2C%20CA
"IVANCHUK, IVAN","IVANCHUK, IVAN",Unavailable,IRVINE,92618,ORANGE,14,CLOSED,9/30/2020,6/6/2024,44.8,(424) 212-0391,6,https://www.google.com/maps/search/Unavailable%2C%20IRVINE%2C%20CA
CHILDREN OF LIGHT ACADEMY,"RHEE, SANG-AH",9851 BIXBY AVENUE,GARDEN GROVE,92841,ORANGE,47,INACTIVE,8/18/2020,,,(714) 534-2599,6,https://www.google.com/maps/search/9851%20BIXBY%20AVENUE%2C%20GARDEN%20GROVE%2C%20CA
CLOVERDALE EAGLETS PRESCHOOL & DAYCARE CENTER-S/A,"BOEHM, JEANETTE",530 NORTH CLOVERDALE BLVD,CLOVERDALE,95425,SONOMA,9,CLOSED,10/20/2020,10/2/2024,48.1,(707) 894-6037,6,https://www.google.com/maps/search/530%20NORTH%20CLOVERDALE%20BLVD%2C%20CLOVERDALE%2C%20CA
LEARNING TO LOVE DEVELOPMENT CENTER LLC,LEARNING TO LOVE DEVELOPMENT CENTER LLC,4340 STOCKTON BLVD,SACRAMENTO,95820,SACRAMENTO,10,CLOSED,4/23/2021,3/14/2024,35.2,(916) 475-1622,6,https://www.google.com/maps/search/4340%20STOCKTON%20BLVD%2C%20SACRAMENTO%2C%20CA
"LEARNING EXPERIENCE, THE",TLE AT TORRANCE LLC,21321 HAWTHORNE BLVD,TORRANCE,90503,LOS ANGELES,29,CLOSED,9/17/2020,8/5/2024,47.3,(310) 540-1730,6,https://www.google.com/maps/search/21321%20HAWTHORNE%20BLVD%2C%20TORRANCE%2C%20CA
"LEARNING EXPERIENCE, THE","LITTLE ANGELS LEARNING ACADEMY, INC.",8330 ELK GROVE FLORIN RD,SACRAMENTO,95829,SACRAMENTO,40,CLOSED,10/13/2023,3/17/2025,17.4,(707) 761-4738,6,https://www.google.com/maps/search/8330%20ELK%20GROVE%20FLORIN%20RD%2C%20SACRAMENTO%2C%20CA
MONTESSORI ON THE PRAIRIE,MONTESSORI ON THE PRAIRIE LLC,89 WEST 7TH STREET,TRACY,95376,SAN JOAQUIN,9,CLOSED,2/3/2021,2/10/2025,48.9,(209) 831-7872,6,https://www.google.com/maps/search/89%20WEST%207TH%20STREET%2C%20TRACY%2C%20CA
"CAMPUS II, INC, THE","CAMPUS II, INC, THE",6311 PACIFIC AVENUE,STOCKTON,95207,SAN JOAQUIN,20,CLOSED,1/11/2021,8/11/2023,31.4,(209) 951-5437,6,https://www.google.com/maps/search/6311%20PACIFIC%20AVENUE%2C%20STOCKTON%2C%20CA
TOGETHER WE GROW,TOGETHER WE GROW,42389 WINCHESTER RD,TEMECULA,92590,RIVERSIDE,35,CLOSED,8/17/2020,10/30/2023,39.0,(760) 757-6031,6,https://www.google.com/maps/search/42389%20WINCHESTER%20RD%2C%20TEMECULA%2C%20CA
"KUO, WAN YU","KUO, WAN YU",Unavailable,SAN MATEO,94403,SAN MATEO,14,CLOSED,8/25/2020,1/10/2025,53.3,(650) 380-8555,6,https://www.google.com/maps/search/Unavailable%2C%20SAN%20MATEO%2C%20CA
STAR KIDS PRESCHOOL LLC,"AVILA,CHRISTY LYNN",1302 N RIVERSIDE AVENUE,RIALTO,92376,SAN BERNARDINO,18,CLOSED,11/6/2020,7/25/2023,33.0,(909) 990-5985,6,https://www.google.com/maps/search/1302%20N%20RIVERSIDE%20AVENUE%2C%20RIALTO%2C%20CA
STUART C. GILDRED FAMILY YMCA - BRANCH,CHANNEL ISLAND YMCA,900 N. REFUGIO ROAD,SANTA YNEZ,93460,SANTA BARBARA,60,CLOSED,12/11/2020,10/22/2023,34.8,(805) 686-2037,6,https://www.google.com/maps/search/900%20N.%20REFUGIO%20ROAD%2C%20SANTA%20YNEZ%2C%20CA
BRIGHT LIFE PLAYSCHOOL INC.,"BRIGHT LIFE PLAYSCHOOL, INC.",1130 ORCUTT ROAD,SAN LUIS OBISPO,93401,SAN LUIS OBISPO,60,CLOSED,12/31/2020,12/20/2024,48.3,(805) 345-9628,6,https://www.google.com/maps/search/1130%20ORCUTT%20ROAD%2C%20SAN%20LUIS%20OBISPO%2C%20CA
DISCOVERY POINT PRESCHOOL & ELC,SHANNA JOHNSON,687 WEST LINE STREET,BISHOP,93514,INYO,24,CLOSED,3/15/2021,8/14/2024,41.6,(760) 987-8359,6,https://www.google.com/maps/search/687%20WEST%20LINE%20STREET%2C%20BISHOP%2C%20CA
"NONORGUES, VERONICA MARTINEZ","NONORGUES, VERONICA MARTINEZ",Unavailable,SAN DIEGO,92104,SAN DIEGO,14,CLOSED,12/18/2021,8/21/2024,32.6,(619) 581-8805,6,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
UNIQUE 2THE PEAK CHILDREN'S ACADEMY,"MEZA, REBECCA",1309 SOUTH BROOKHURST STREET,ANAHEIM,92804,ORANGE,23,CLOSED,8/5/2021,12/23/2024,41.2,(657) 220-4206,6,https://www.google.com/maps/search/1309%20SOUTH%20BROOKHURST%20STREET%2C%20ANAHEIM%2C%20CA
YOUNG WORLD: CHILDREN'S LEARNING CENTER,"BREWER FAMILY ENTERPRISES, INC.",750 SIERRA AVE,CLOVIS,93612,FRESNO,28,CLOSED,10/15/2020,3/17/2024,41.6,(559) 298-7800,6,https://www.google.com/maps/search/750%20SIERRA%20AVE%2C%20CLOVIS%2C%20CA
KOVACS FAMILY CHILDCARE,SZILVI KOVACS,Unavailable,LOS ANGELES,90045,LOS ANGELES,14,CLOSED,10/4/2021,10/30/2023,25.2,(310) 844-5840,6,https://www.google.com/maps/search/Unavailable%2C%20LOS%20ANGELES%2C%20CA
"NELMES, LEANNE FCCH","NELMES, LEANNE",Unavailable,PETALUMA,94954,SONOMA,14,INACTIVE,7/3/2020,,,(707) 396-8324,6,https://www.google.com/maps/search/Unavailable%2C%20PETALUMA%2C%20CA
"SUKENIK, NAOMI FAMILY CHILD CARE","SUKENIK, NAOMI",Unavailable,MERCED,95340,MERCED,14,CLOSED,12/1/2020,1/4/2024,37.6,(209) 600-3372,6,https://www.google.com/maps/search/Unavailable%2C%20MERCED%2C%20CA
"NASCIMENTO, LACEY","NASCIMENTO, LACEY",Unavailable,ESCALON,95320,SAN JOAQUIN,14,CLOSED,2/4/2022,2/14/2024,24.7,(209) 481-5710,6,https://www.google.com/maps/search/Unavailable%2C%20ESCALON%2C%20CA
"CAMPUS II, INC, THE","CAMPUS II, INC, THE",6311 PACIFIC AVENUE,STOCKTON,95207,SAN JOAQUIN,30,CLOSED,1/11/2021,8/11/2023,31.4,(209) 951-5437,6,https://www.google.com/maps/search/6311%20PACIFIC%20AVENUE%2C%20STOCKTON%2C%20CA
TULIP KIDS,TULIP KIDS INC.,10181 FINCH AVENUE,CUPERTINO,95014,SANTA CLARA,67,CLOSED,2/18/2020,8/16/2024,54.7,(669) 377-5774,6,https://www.google.com/maps/search/10181%20FINCH%20AVENUE%2C%20CUPERTINO%2C%20CA
"MORRIS, EVELYN","MORRIS, EVELYN",Unavailable,IRVINE,92618,ORANGE,14,CLOSED,8/2/2021,5/28/2024,34.3,(949) 923-5235,6,https://www.google.com/maps/search/Unavailable%2C%20IRVINE%2C%20CA
